host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
1832,100.0,99.0,True,3,3,True,True,42.65935,-73.76805,7,0,4,1.0,0.1,1.0,102.0,1,365,1,365,1.0,365.0,17,28,51,318,370,31,2,159,41,186,1826.0,52.0,4.97,4.98,4.99,4.98,4.99,4.95,4.96,False,3,3,0,6.2,1020.0,35
1832,100.0,99.0,True,3,3,True,True,42.66006,-73.76966,7,0,4,1.0,1.0,2.0,103.0,1,1125,1,1125,1.0,1125.0,26,44,66,331,302,12,1,172,16,72,1811.0,68.0,4.99,4.98,4.99,4.98,5.0,4.98,4.97,False,3,3,0,5.11,103.0,48
1839,90.0,91.0,True,6,6,True,True,42.64808,-73.7996,7,0,4,1.0,2.0,2.0,146.0,13,1125,13,1125,13.0,1125.0,0,0,0,266,26,3,0,108,4,78,1789.0,233.0,4.85,4.92,4.69,4.96,4.96,4.96,4.77,False,6,6,0,0.45,73.0,24
1796,100.0,100.0,True,1,1,True,True,42.66132,-73.7956,7,0,3,1.0,1.0,1.0,132.0,1,365,1,365,1.0,365.0,0,0,0,221,129,4,0,62,8,24,1786.0,186.0,4.95,4.97,4.94,4.97,4.97,4.95,4.9,False,1,1,0,2.21,132.0,26
2207,100.0,94.0,True,2,6,True,True,42.64454,-73.75369,5,0,4,1.0,0.1,3.0,67.0,1,29,1,29,2.2,29.0,20,45,74,74,40,10,4,74,4,60,1400.0,45.0,4.63,4.75,4.83,4.85,4.68,4.33,4.55,False,2,2,0,0.88,670.0,38
2754,100.0,100.0,False,5,7,True,True,42.6545,-73.78223,7,0,4,1.0,1.0,2.0,89.0,2,365,2,1125,2.0,1125.0,14,38,68,247,154,29,2,184,41,174,1733.0,56.0,4.72,4.8,4.59,4.91,4.88,4.73,4.72,False,1,1,0,2.72,89.0,30
3550,100.0,97.0,False,19,19,True,True,42.64801,-73.75668,7,0,3,1.0,1.0,1.0,108.0,1,1125,1,1125,1.3,1125.0,10,33,61,176,99,6,0,176,14,36,1632.0,151.0,4.61,4.7,4.7,4.8,4.83,4.48,4.55,False,18,18,0,1.86,108.0,44
3550,100.0,97.0,False,19,19,True,True,42.64821,-73.75793,7,0,3,1.0,1.0,1.0,108.0,1,1125,1,1125,1.3,1125.0,19,45,72,344,122,18,2,188,21,108,1633.0,60.0,4.78,4.82,4.87,4.84,4.92,4.48,4.71,False,18,18,0,2.29,108.0,41
3550,100.0,97.0,False,19,19,True,True,42.64713,-73.75628,7,0,4,1.0,2.0,2.0,117.0,1,1125,1,1125,1.3,1125.0,22,43,73,188,144,16,0,188,24,96,1626.0,87.0,4.66,4.74,4.76,4.9,4.87,4.47,4.58,False,18,18,0,2.72,58.5,44
3364,100.0,98.0,True,1,1,True,True,42.65311,-73.78525,4,0,4,1.0,2.0,2.0,152.0,1,100,1,1125,1.0,1125.0,8,8,17,286,257,41,4,127,53,246,1621.0,46.0,4.99,4.99,4.99,4.99,4.99,4.9,4.94,False,1,1,0,4.87,76.0,41
